Time (sec),Accel. Pedal Pos. (%),Actual AFR (AFR),Boost (PSI),Boost Air Temp. (° F),Calculated Load (Load),HPFP Act. Press. (PSI),Inj. Duty Cycle (%),Intake Temp. (° F),Intake Valve Adv. (°),Knock Retard (°),Long Term FT (%),MAF Voltage (V),Mass Airflow (g/s),RPM (RPM),Short Term FT (%),Spark Adv. (°),Throttle Position (%),Vehicle Speed (mph),Wastegate Duty (%)
12.079,0,29.25,-11.99,70,0.41,1848,0.00,55,0,0.00,3.91,2.28,50.76,5716,0.00,45.00,3,111,0
12.133,0,29.25,-11.99,70,0.40,1854,0.00,55,0,0.00,3.91,2.25,48.88,5622,0.00,46.50,3,111,0
12.180,0,29.25,-11.99,70,0.40,1816,0.00,55,0,0.00,3.91,2.23,46.73,5539,0.00,47.00,3,111,0
12.225,0,29.25,-11.99,70,0.40,1816,0.00,55,1,0.00,3.91,2.22,46.43,5458,0.00,46.00,3,110,0
12.261,0,29.25,-11.99,70,0.39,1816,0.00,55,0,0.00,3.91,2.17,44.34,5411,0.00,46.00,3,110,0
12.308,-0,29.25,-11.99,70,0.38,1816,0.00,55,0,0.00,3.91,2.16,42.57,5278,0.00,44.00,3,110,0
12.350,0,29.25,-11.92,70,0.40,1813,0.00,55,0,0.00,3.91,2.14,41.25,4732,0.00,37.00,5,111,0
12.397,0,29.25,-11.85,70,0.45,1813,0.00,55,0,0.00,3.91,2.16,43.16,4174,0.00,34.50,6,111,0
12.453,0,29.25,-11.49,70,0.49,1816,0.00,55,0,0.00,3.91,2.18,44.04,4028,0.00,32.00,7,111,0
12.495,0,29.25,-11.27,70,0.48,1816,0.00,57,0,0.00,3.91,2.16,43.16,4303,0.00,30.50,7,109,0
12.541,0,29.25,-11.13,70,0.46,1816,0.00,57,0,0.00,3.91,2.16,41.91,4249,0.00,32.50,7,109,0
12.597,0,29.25,-11.06,70,0.45,1813,0.00,57,0,0.00,3.91,2.13,40.59,4209,0.00,32.50,7,109,0
12.640,-0,29.25,-10.98,70,0.45,1813,0.00,57,0,0.00,3.91,2.14,41.25,4261,0.00,33.00,7,109,0
12.695,0,29.25,-10.98,70,0.44,1813,0.00,57,0,0.00,3.91,2.10,39.30,4214,0.00,34.50,7,109,0
12.748,0,29.25,-10.98,70,0.43,1813,0.00,57,0,0.00,3.91,2.09,37.72,4242,0.00,35.00,7,109,0
12.781,0,29.25,-10.98,70,0.43,1813,0.00,57,0,0.00,3.91,2.08,37.12,4230,0.00,35.00,7,109,0
12.834,0,29.25,-10.98,70,0.42,1813,0.00,57,0,0.00,3.91,2.07,36.22,4218,0.00,35.50,7,109,0
12.887,0,29.25,-10.98,70,0.42,1811,0.00,57,0,0.00,3.91,2.07,36.52,4220,0.00,35.50,7,109,0
12.944,-0,29.25,-10.98,70,0.40,1813,0.00,57,0,0.00,3.91,2.03,34.46,4204,0.00,36.00,7,109,0
12.981,0,29.25,-11.06,70,0.40,1811,0.00,57,0,0.00,3.91,2.03,34.17,4204,0.00,36.00,7,109,0
13.039,0,29.25,-10.98,70,0.39,1813,0.00,57,0,0.00,3.91,2.01,33.32,4197,0.00,36.00,7,109,0
13.093,0,29.25,-10.98,70,0.39,1811,0.00,57,0,0.00,3.91,2.00,32.75,4188,0.00,36.50,7,108,0
13.135,0,29.25,-11.06,70,0.38,1813,0.00,57,0,0.00,3.91,1.99,32.22,4185,0.00,36.50,7,108,0
13.177,0,29.25,-11.06,70,0.37,1813,0.00,57,0,0.00,3.91,1.98,30.88,4185,0.00,37.00,7,108,0
13.211,0,29.25,-11.06,70,0.37,1813,0.00,57,0,0.00,3.91,1.98,31.68,4176,0.00,39.50,7,108,0
13.265,0,29.25,-11.06,70,0.36,1811,0.00,57,0,0.00,3.91,1.95,29.87,4171,0.00,40.00,7,107,0
13.302,0,29.25,-10.98,70,0.35,1811,0.00,57,0,0.00,3.91,1.93,28.89,4162,0.00,44.50,7,107,0
13.349,0,29.25,-10.98,70,0.34,1809,0.00,57,0,0.00,3.91,1.92,28.64,4162,0.00,48.00,7,107,0
13.384,0,29.25,-10.98,70,0.33,1811,0.00,57,0,0.00,3.91,1.91,27.95,4162,0.00,50.00,7,107,0
13.440,0,29.25,-10.98,70,0.32,1809,0.00,57,0,0.00,3.91,1.90,26.80,4144,0.00,50.00,7,107,0
13.495,0,29.25,-11.06,70,0.32,1813,0.00,57,0,0.00,3.91,1.89,26.80,4139,0.00,50.00,7,107,0
13.536,0,29.25,-10.98,70,0.31,1811,0.00,57,0,0.00,3.91,1.87,25.90,4139,0.00,50.00,7,107,0
13.574,0,29.25,-11.06,70,0.30,1813,0.00,57,0,0.00,3.91,1.85,25.22,4128,0.00,50.00,7,107,0
13.616,-0,29.25,-11.06,70,0.29,1811,0.00,57,0,0.00,9.38,1.82,23.89,4126,0.00,50.00,7,107,0
13.658,0,29.25,-11.06,70,0.27,1811,0.00,57,0,0.00,9.38,1.80,22.80,4132,0.00,50.00,7,107,0
13.713,0,29.25,-11.06,70,0.25,1811,0.00,57,0,0.00,9.38,1.76,20.95,4114,0.00,50.00,7,106,0
